# HoopsValue MASTER ROSTER - every player under contract 2026-27, all 30 teams.
# THE roster source of truth. Compiled by 6 division agents from Spotrac
# (canonical) cross-checked vs ESPN + RealGM, reconciled 2026-07-27.
# Maintain by hand as trades/waivers/signings happen (same doctrine as
# real_signings), then re-run scripts/build_master_roster_xlsx.py.
# kind: standard | two_way | pending (agreed, not official, not vs limits)
asof,team,player,salary_M,kind,pos,notes
,CHA,Pat Connaughton,3.82,standard,SG,"Waived Feb 2026 then re-signed 2yr min deal 5 days later; CHA exercised his $3,815,861 team option for 2026-27 in June; non-guaranteed until January 2027"
,CHA,Liam McNeeley,2.9,standard,SF,2025 No. 29 pick (draft-night trade 6/30/25); TO 2027-28
,CHA,Moussa Diabate,2.46,standard,PF,guaranteed (6/1/26 trigger); expiring
,CHA,Ryan Kalkbrenner,2.41,standard,C,"2025 2nd round No. 34, yr 2"
,CHA,Sion James,2.41,standard,SF,"2025 2nd round No. 33, yr 2"
,CHA,Mouhamadou Gueye,2.41,standard,PF,"Acquired 7/10/2026 from CHI when the LaMelo Ball deal expanded to 4 teams (MIN/BKN/CHI/CHA); non-guaranteed; agreed to Valencia Basket (Spain) deal announced 7/23/2026, still on CHA roster as of 7/27 with waiver imminent; distinct player from ATL's Mouhamed Gueye"
,CHA,P.J. Hall,0,two_way,PF,two-way; QO due 6/29/27
,CHA,Kylan Boswell,0,two_way,PG,"two-way (2026 undrafted, Illinois); 50% gtd first day of season"
,CHA,Michael Ajayi,0,two_way,SF,"two-way (2026 undrafted, Butler); 50% gtd first day of season"
,CHI,Josh Giddey,25,standard,PG,Re-signed with CHI in 2025 (~$25M/yr); under contract through 2028-29
,CHI,Nicolas Claxton,23.32,standard,C,Acquired 6/22/26 in 3-team deal that sent Julius Randle to BKN; CHI absorbed full salary
,CHI,Norman Powell,21.5,standard,SG,Signed 2yr/$45M in July 2026 FA (from MIA); 2026 All-Star
,CHI,Patrick Williams,18,standard,PF,Year 3 of 5yr/$90M deal
,CHI,Isaac Okoro,11.81,standard,SG,Final year; extension eligible 9/17/26
,CHI,Caleb Wilson,10.68,standard,PF,No. 4 pick 2026 draft (North Carolina); signed rookie scale
,CHI,Jalen Smith,9.43,standard,PF,Final year of 2024 deal; extension eligible
,CHI,Zach Collins,8.5,standard,C,On 2yr/$17M veteran extension signed with CHI (through 2027-28)
,CHI,Tre Jones,8,standard,PG,Year 2 of 3yr deal re-signed with CHI in 2025
,CHI,Rob Dillingham,6.89,standard,PG,Acquired 2/5/26 from MIN with Leonard Miller + 4 2nds for Dosunmu and Julian Phillips; rookie scale
,CHI,Matas Buzelis,5.72,standard,SF,Rookie scale yr 3
,CHI,Noa Essengue,5.7,standard,PF,"2025 No. 12 pick, rookie scale yr 2"
,CHI,Dailyn Swain,4.97,standard,SF,No. 15 pick 2026 draft (Texas); signed rookie scale
,CHI,Leonard Miller,2.41,standard,PF,Acquired 2/5/26 from MIN in Dillingham/Dosunmu trade; expiring
,CHI,Tobe Awaka,0,two_way,PF,Two-way contract (only 2 of 3 CHI two-way slots filled)
,CHI,Jaylin Sellers,0,two_way,SG,Two-way contract
,CLE,Donovan Mitchell,50.11,standard,SG,Signed 4yr/$272.7M max extension 7/8/26 (declined 27-28 PO as part; 2030-31 PO)
,CLE,Evan Mobley,50.11,standard,PF,Designated rookie max extension
,CLE,Jarrett Allen,28,standard,C,Veteran extension through 2028-29
,CLE,Max Strus,16.66,standard,SG,Year 3 of 4yr/$63M; extension eligible
,CLE,Dennis Schroder,14.81,standard,PG,Acquired at Feb 2026 deadline from SAC (with Keon Ellis) for De'Andre Hunter; CLE reportedly shopping him
,CLE,Sam Merrill,9.16,standard,SG,Year 2 of 4yr/$38M
,CLE,Jaylon Tyson,3.66,standard,SG,Rookie scale yr 3
,CLE,Mario Hezonja,2.8,pending,SF,"Agreed 7/26/26 to 1yr minimum (~$2.8M) deal returning from Real Madrid; reported by ESPN/Shams, not yet official/not on Spotrac"
,CLE,Thomas Bryant,2.45,standard,C,Re-signed 1yr/$3.52M on 7/7/26 (vet-min cap hit $2.45M)
,CLE,Nae'Qwan Tomlin,2.41,standard,PF,Converted from two-way in 2025-26; guaranteed
,CLE,Craig Porter Jr.,2.41,standard,PG,Non-guaranteed for 2026-27 per Spotrac
,CLE,Tyrese Proctor,2.15,standard,SG,"2025 2nd-rounder, yr 2"
,CLE,Meleek Thomas,1.36,standard,SG,2026 2nd-round pick; signed 4yr/$9.26M via 2nd-round exception 7/1/26; salary inferred (~rookie min) - Spotrac cap table shows $0/omits him (see caveats)
,CLE,Tristan Enaruna,0,two_way,SF,Two-way contract
,CLE,Riley Minix,0,two_way,SF,Two-way contract
,CLE,Ernest Udeh Jr.,0,two_way,C,Signed two-way 7/1/26
,DAL,Kyrie Irving,39.49,standard,PG,Yr 2 of 3yr deal; 2027-28 player option $42.4M
,DAL,P.J. Washington,19.81,standard,PF,Vet extension runs through 2029-30
,DAL,Klay Thompson,17.46,standard,SG,Final year of 3yr sign-and-trade deal
,DAL,Daniel Gafford,17.26,standard,C,Vet extension through 2028-29
,DAL,Santi Aldama,17.01,standard,PF,"Acquired from MEM in July 8, 2026 six-team trade (AJ Johnson + 2030 1st + 2nds out); 2027-28 team option $17.0M"
,DAL,Cooper Flagg,14.52,standard,SF,"2025 No. 1 pick, yr 2; 2027-28 club option due 10/31/26"
,DAL,Zaccharie Risacher,13.83,standard,SF,"Acquired from ATL July 20, 2026 in 3-team Lu Dort deal (Nembhard + 2027 2nd out); rookie scale yr 3"
,DAL,Caleb Martin,10,standard,SF,Cap hit incl. likely incentives (base $8.96M); 2027-28 player option $9.4M
,DAL,Naji Marshall,9.43,standard,SF,Final year
,DAL,Max Christie,8.29,standard,SG,2027-28 player option $8.9M
,DAL,Dereck Lively II,7.24,standard,C,Final rookie-scale year; 2027 RFA
,DAL,Morez Johnson Jr.,6.75,standard,C,"2026 No. 9 pick, signed rookie deal"
,DAL,Marcus Sasser,5.2,standard,PG,Acquired from DET July 2026 (absorbed via Bi-Annual Exception); 2027 RFA
,DAL,Sergio de Larrea,3.18,standard,SG,"2026 No. 25 pick (DAL traded up from 30), signed rookie deal"
,DAL,Tarik Biberovic,3,standard,SF,Draft rights acquired from MEM in Aldama trade; signed 2yr/$6M via part of MLE
,DAL,Moussa Cisse,2.19,standard,C,"Non-guaranteed; $1.09M guarantees 9/1/26, full 10/1/26"
,DAL,Tobi Lawal,0.68,two_way,PF,2026 second-round pick on two-way
,DAL,John Poulakidas,0.68,two_way,SG,Two-way contract
,DAL,Jett Howard,0.68,two_way,SG,"Signed two-way July 20, 2026 (two-way Tyler Smith waived); ex-ORL 2023 lottery pick"
,DEN,Nikola Jokic,59.03,standard,C,Designated-vet supermax; PO for 2027-28
,DEN,Jamal Murray,50.11,standard,PG,"Vet-max extension (2025), through 2028-29"
,DEN,Aaron Gordon,31.98,standard,PF,Vet-max extension signed 2026; PO 2028-29
,DEN,Cameron Johnson,23.06,standard,SF,Final year; cap hit incl $0.56M likely incentives (base $22.5M); acquired from BKN June 2025 (MPJ trade)
,DEN,Christian Braun,21.55,standard,SG,5yr/$125M rookie extension (fall 2025) begins 2026-27
,DEN,Zeke Nnaji,7.47,standard,PF,Rookie extension; PO for 2027-28
,DEN,Spencer Jones,5.85,standard,SF,RFA July 2026: signed 2yr/$12M offer sheet with OKC; DEN matched
,DEN,Julian Strawther,4.83,standard,SF,Final rookie-scale year (RFA 2027)
,DEN,DaRon Holmes II,3.37,standard,PF,Year 3 rookie scale (2024 No. 22); TO decision for 2027-28
,DEN,Tyus Jones,2.45,standard,PG,"Re-signed 1yr July 2, 2026 (vet min; joined DEN Mar 2026 after DAL waiver); cap hit is 2-yr-min charge, base $3.88M"
,DEN,Marvin Bagley III,2.45,standard,PF,"Signed 1yr vet min July 2, 2026; base $3.51M"
,DEN,Alpha Diallo,1.36,standard,SF,"EuroLeague Best Defender; signed 1yr July 2026 (undrafted, rookie-min charge)"
,DEN,Trevon Brazile,1.36,standard,PF,2026 No. 35 pick; 4yr/$9.26M second-round exception; not yet added to Spotrac cap table (lag)
,DEN,K.J. Simpson,0,two_way,PG,"2-yr two-way signed 2025, covers 2026-27"
,DEN,Bryce Hopkins,0,pending,SF,"2026 No. 49 pick; 1-yr two-way reported mid-July 2026, not yet on Spotrac/RealGM official data"
,DET,Cade Cunningham,50.11,standard,PG,Designated rookie max extension
,DET,John Collins,17,standard,PF,"Acquired 7/8/26 from LAC in 6-team trade (DET sent Stewart to MEM, Sasser to DAL, LeVert to MIL)"
,DET,Duncan Robinson,15.99,standard,SF,2025 sign-and-trade from MIA; only $2M of 2026-27 guaranteed
,DET,Isaiah Joe,11.32,standard,SG,Extension eligible
,DET,Ausar Thompson,11.12,standard,SG,"Final rookie-scale year; RFA 2027, extension eligible"
,DET,Kevin Huerter,9.51,standard,SG,Signed 3yr/$27M on 7/9/26 (2028-29 team option); was on CHI in 2025-26
,DET,Ron Holland II,9.07,standard,SF,Rookie scale yr 3
,DET,Paul Reed,5.6,standard,C,2026-27 non-guaranteed
,DET,Ebuka Okorie,4.48,standard,PG,No. 17 pick 2026 draft (Stanford; DET traded up from 21 with MEM); signed rookie scale
,DET,Daniss Jenkins,4,standard,PG,Guaranteed $4M for 2026-27
,DET,Javonte Green,3.94,standard,SG,"Veteran depth, expiring"
,DET,Gary Harris,3.82,standard,SG,Acquired 7/8/26 from MIL in 6-team trade; expiring
,DET,Taurean Prince,3.82,standard,PF,Acquired 7/8/26 from MIL in 6-team trade; expiring
,DET,Tolu Smith III,2.41,standard,C,Non-guaranteed for 2026-27 per Spotrac
,DET,Chaz Lanier,2.15,standard,SG,"2025 2nd-rounder, yr 2"
,DET,Elijah Harkless,0,two_way,PG,Signed two-way 7/8/26
,DET,Isaac Jones,0,two_way,C,Two-way contract
,DET,Ugonna Onyenso,0,two_way,C,Two-way contract (runs through 2027-28)
,GSW,Stephen Curry,62.59,standard,PG,"1yr veteran extension covering 2026-27, signed 2026"
,GSW,Jimmy Butler,56.83,standard,SF,final year of 2yr/$111M vet-max extension
,GSW,Draymond Green,27.7,pending,PF,"Declined $27.7M player option 6/29 to aid LeBron pursuit; after LeBron chose PHI, re-signing at ~$28M reported imminent (Athletic, 7/25-26) but NOT official as of 7/27; currently a $38.84M cap hold"
,GSW,Kristaps Porzingis,20,standard,PF,"2yr/$40M extension; 2026-27 $20M fully guaranteed Jul 7, 2026"
,GSW,Moses Moody,12.5,standard,SG,rookie extension
,GSW,Al Horford,6.82,standard,C,"re-signed 2yr/$13.99M Jul 6, 2026; 2027-28 player option"
,GSW,Yaxel Lendeborg,6.1,standard,PF,2026 draft pick No. 11; rookie scale 4yr/$28.1M
,GSW,Brandin Podziemski,5.68,standard,SG,4th year of rookie scale
,GSW,De'Anthony Melton,5.48,pending,SG,"agreed 2yr/$11M (Y2 player option) ~Jul 1; on Spotrac pending-transactions at $5.477M, not yet official"
,GSW,Gui Santos,4.63,standard,SF,3yr/$15M extension signed 2026
,GSW,Charles Bassey,2.45,standard,C,"signed 1yr/$2.85M Jul 9, 2026; $1.4M guaranteed; min cap hit"
,GSW,Will Richard,2.15,standard,SG,2nd year of 2025 second-round deal
,GSW,L.J. Cryer,0,two_way,PG,"2yr two-way signed 2025, runs through 2026-27"
,GSW,Malevy Leons,0,two_way,PF,"2yr two-way signed 2025, runs through 2026-27"
,HOU,Kevin Durant,43.9,standard,SF,Extended after 2025 trade from PHX; 2027-28 player option $46.1M
,HOU,Alperen Sengun,35.64,standard,C,Rookie-max extension; 2029-30 player option down the line
,HOU,Fred VanVleet,25,standard,PG,Final year of 2025 re-sign
,HOU,Jabari Smith Jr.,23.64,standard,PF,Yr 1 of rookie extension ($122M gtd)
,HOU,Tari Eason,14.05,standard,PF,Yr 1 of multi-year deal; 2030-31 player option $18.6M
,HOU,Steven Adams,13,standard,C,Vet extension through 2027-28
,HOU,Amen Thompson,12.26,standard,PG,Final rookie-scale year; 2027 RFA (QO $17.4M)
,HOU,Reed Sheppard,11.11,standard,SG,Rookie scale yr 3; 2027-28 club option due 10/31/26
,HOU,Clint Capela,7.04,standard,C,Yr 2 of 3yr deal (2025 sign-and-trade)
,HOU,Marcus Smart,6.06,standard,PG,Signed with part of NT-MLE; 2027-28 player option $6.4M
,HOU,J.D. Davison,2.58,standard,PG,Non-guaranteed until 1/10/27
,HOU,Bogdan Bogdanovic,2.45,standard,SG,"Vet-minimum FA signing, July 2026"
,HOU,Jae'Sean Tate,2.45,standard,SF,Re-signed minimum; guarantee date 1/10/27
,HOU,Isaiah Crawford,2.45,standard,SF,Multi-year minimum; partial guarantee at opening night
,HOU,Bruce Thornton,1.36,standard,PG,2026 No. 31 pick (HOU traded 39+53+2029 2nd to NYK to move up); signed 4yr/$9.3M July 7; Spotrac cap table still lags this signing
,HOU,Quadir Copeland,0.68,two_way,SG,Two-way contract
,HOU,Tristen Newton,0.68,two_way,PG,Two-way contract; third HOU two-way slot open
,IND,Tyrese Haliburton,48.92,standard,PG,Designated rookie max; returning from torn Achilles
,IND,Pascal Siakam,48.92,standard,PF,Max deal through 2027-28
,IND,Ivica Zubac,20.34,standard,C,"Acquired Feb 2026 deadline from LAC (with Kobe Brown) for Mathurin, Isaiah Jackson + picks; under contract through 2027-28"
,IND,Andrew Nembhard,19.55,standard,PG,Veteran extension
,IND,Obi Toppin,15,standard,PF,Through 2027-28
,IND,T.J. McConnell,11,standard,PG,Veteran extension through 2028-29
,IND,Aaron Nesmith,11,standard,SF,Rookie extension; salary jumps to $19.4M in 2027-28
,IND,Jarace Walker,8.48,standard,PF,"Final rookie-scale year; RFA 2027, extension eligible"
,IND,Kelly Oubre Jr.,8.05,standard,SF,"Signed 2yr/~$17M in 2026 FA (from PHI), official 7/7/26"
,IND,Ben Sheppard,5.03,standard,SF,Final rookie-scale year
,IND,Jay Huff,2.67,standard,C,Only $379K guaranteed for 2026-27
,IND,Quenton Jackson,2.58,standard,SG,$2.58M fully guaranteed by IND on 7/15/26
,IND,Larry Nance Jr.,2.45,standard,PF,Re-signed 1yr/$3.88M on 7/9/26 (vet-min cap hit $2.45M)
,IND,Johnny Furphy,2.3,standard,SG,Rookie scale yr 3
,IND,Kobe Brown,0,two_way,PF,Came over in Zubac trade; signed two-way 7/9/26
,IND,Jalen Slawson,0,two_way,PF,Signed two-way 7/22/26
,IND,Ethan Thompson,0,two_way,SG,Two-way contract
,IND,Braden Smith,0,pending,PG,"No. 38 pick 2026 (Purdue; pick acquired from CHI on draft night for Kam Jones); reported to sign a two-way (~$679K), not yet on Spotrac/official"
,LAC,Kawhi Leonard,50.3,standard,SF,"agreed trade to TOR (for Ingram, Dick, picks) frozen by Aspiration cap investigation; still officially on LAC roster"
,LAC,Darius Garland,42.17,standard,PG,"acquired from CLE Feb 5, 2026 for James Harden"
,LAC,Brandon Ingram,40,pending,SF,"part of agreed Kawhi-to-TOR trade (with Dick, 2031/2033 1sts, 2030/2033 2nds, 2027 swap); unofficial pending Aspiration investigation"
,LAC,Rui Hachimura,14,standard,PF,signed 2yr/$28M July 2026 via full non-taxpayer MLE (from LAL)
,LAC,Derrick Jones Jr.,10.48,standard,SF,final year of 3yr/$30M
,LAC,Keaton Wagler,9.67,standard,PG,2026 draft pick No. 5 (Illinois); rookie scale 4yr/$43.96M
,LAC,Brook Lopez,9.19,standard,C,year 2 of 2yr/$17.94M
,LAC,Gradey Dick,7.13,pending,SG,part of agreed Kawhi-to-TOR trade; 4th-year rookie-scale option; unofficial pending investigation
,LAC,Isaiah Jackson,7,standard,PF,3yr/$21M (2025); acquired from IND Feb 2026 (Zubac/Kobe Brown deal)
,LAC,Kris Dunn,5.68,standard,PG,final year of 2024 sign-and-trade deal
,LAC,Jordan Miller,5.3,standard,SF,"re-signed 3yr/$15.3M Jul 9, 2026; 2028-29 team option"
,LAC,Yanic Konan Niederhauser,2.88,standard,C,"2025 first-round pick, year 2 rookie scale"
,LAC,Kobe Sanders,2.62,standard,SG,"re-signed 4yr/$11.28M Jul 7, 2026"
,LAC,Cam Christie,2.3,standard,SG,"non-guaranteed; guarantee date pushed to Oct 15, 2026"
,LAC,Baba Miller,1.36,standard,PF,"2026 second-rounder; signed 4yr/$9.26M via 2nd-round exception Jul 9, 2026; not yet on Spotrac cap table, Y1 estimated at rookie min"
,LAC,Sean Pedulla,0,two_way,PG,"2yr two-way signed 2025, runs through 2026-27"
,LAC,Nick Martinelli,0,two_way,SF,2yr two-way signed 2026
,LAL,Luka Doncic,49.49,standard,PG,year 1 of 3yr/$160.3M vet-max extension
,LAL,Austin Reaves,41.24,standard,SG,re-signed 4yr/$184.76M July 2026
,LAL,Walker Kessler,30.11,standard,C,"acquired via sign-and-trade from UTA July 2026, 4yr/$129.47M"
,LAL,Quentin Grimes,13.95,standard,SG,signed 4yr/$60M July 2026
,LAL,Sandro Mamukelashvili,13,standard,C,signed 4yr/$52M July 2026
,LAL,Jarred Vanderbilt,12.43,standard,PF,2024 veteran extension
,LAL,Collin Sexton,9.37,standard,PG,signed 2yr/$19.2M July 2026 via room exception
,LAL,Jaden Hardy,6,standard,SG,3yr/$18M extension (2025)
,LAL,Jake LaRavia,6,standard,PF,year 2 of 2yr/$12M
,LAL,Dalton Knecht,4.2,standard,SF,3rd year rookie scale
,LAL,Cameron Carr,3.32,standard,SG,2026 draft pick No. 25 (Baylor); rookie scale 4yr/$16.82M
,LAL,Kevon Looney,2.45,standard,C,signed 1yr/$3.88M vet-min July 2026; min cap hit
,LAL,Ziaire Williams,2.45,standard,SF,"signed 1yr/$2.85M Jul 19, 2026; min cap hit"
,LAL,Matisse Thybulle,2.45,pending,SG,"agreed 1yr/$3.29M Jul 20, 2026; on Spotrac pending-transactions, not yet official"
,LAL,Bronny James,2.3,standard,PG,3rd year of 2024 second-round deal
,LAL,Adou Thiero,2.15,standard,SF,2nd year of 2025 second-round deal
,LAL,Chris Manon,0,two_way,SG,two-way signed 2026
,LAL,AK Okereke,0,two_way,PF,two-way signed 2026
,LAL,Arthur Kaluma,0,two_way,PF,"two-way signed Jul 22, 2026"
,MEM,Jerami Grant,34.21,standard,PF,"Acquired from POR June 30, 2026 in Ja Morant trade; 2027-28 player option $36.4M"
,MEM,Isaiah Stewart,15,standard,C,"Acquired from DET in July 8, 2026 six-team trade; 2027-28 team option $15.0M"
,MEM,Cameron Boozer,11.85,standard,PF,2026 lottery pick (scale fits No. 3); rookie deal officially signed
,MEM,Ty Jerome,9.22,standard,SG,Yr 2 of 3yr deal; 2027-28 player option $9.7M
,MEM,Quinten Post,9,standard,C,"Signed via MLE July 2026; sources conflict on cap hit (Spotrac $9.00M, BBRef $8.29M)"
,MEM,Taylor Hendricks,7.81,standard,PF,Acquired from UTA Feb 2026 in Jaren Jackson Jr. trade; 2027 RFA
,MEM,Zach Edey,6.33,standard,C,2027-28 club option due 10/31/26
,MEM,Cedric Coward,6,standard,SG,"2025 first-rounder, yr 2; 2027-28 club option due 10/31/26"
,MEM,D'Angelo Russell,5.97,standard,PG,"Acquired in July 8 six-team trade (expiring, final year ~$5.9-6.0M); MEM and Russell working toward trade or buyout per RealGM/Yahoo (7/23), still on roster as of 7/27"
,MEM,Kris Murray,5.32,standard,PF,"Acquired from POR June 30, 2026 in Ja Morant trade"
,MEM,Walter Clayton Jr.,4.19,standard,PG,Acquired from UTA Feb 2026 in JJJ trade; 2027-28 club option due 10/31/26
,MEM,Taj Gibson,3.82,standard,C,"Real signing, verified: 2yr vet-min signed Feb 2026 at age 40 (now 41); 2026-27 non-guaranteed until 1/10/27; named by Hoops Rumors as MEM's most obvious waive candidate in the roster crunch"
,MEM,AJ Johnson,3.24,standard,PG,"WAS to DAL (Feb, AD deal) to MEM (July 8 six-team trade); 2027-28 club option due 10/31/26"
,MEM,Olivier-Maxence Prosper,2.5,standard,PF,Signed after DAL waived him (DAL carries stretched dead money)
,MEM,Scotty Pippen Jr.,2.46,standard,PG,2027-28 club option
,MEM,Cam Spencer,2.41,standard,SG,Multi-year; 2028-29 club option
,MEM,G.G. Jackson,2.41,standard,PF,Final year
,MEM,Jaylen Wells,2.3,standard,SG,Non-guaranteed until opening night 10/19/26
,MEM,Javon Small,0.68,two_way,PG,2025 No. 48 pick; re-signed two-way 7/10/26
,MEM,Jahmai Mashack,0.68,two_way,SG,On two-way since Nov 2025
,MEM,Karim Lopez,0,pending,PF,"2026 No. 21 pick (rights from DET draft night for Ebuka Okorie + 3 2nds); UNSIGNED as of 7/27, KCP buyout cleared the roster spot; scale yr 1 ~$3.1M (hold $3.75M)"
